zipcode	sido	gugun	dong	startbunji	endbunji	seq
06335	서울특별시	강남구	개포동	12		1
06335	서울특별시	강남구	개포동	12		2
06334	서울특별시	강남구	개포동	12		3
06334	서울특별시	강남구	개포동	12-2		4
06335	서울특별시	강남구	개포동	12-4	12-10	5
06334	서울특별시	강남구	개포동	13	13-1	6
06336	서울특별시	강남구	개포동	13-2		7
06336	서울특별시	강남구	개포동	13-3	14-5	8
06358	서울특별시	강남구	개포동	67-1		9
06358	서울특별시	강남구	개포동	108		10
06358	서울특별시	강남구	개포동	131		11
06327	서울특별시	강남구	개포동	138	139	12
06326	서울특별시	강남구	개포동	140		13
06322	서울특별시	강남구	개포동	141		14
06324	서울특별시	강남구	개포동	152	156	15
06325	서울특별시	강남구	개포동	157	157-9	16
06325	서울특별시	강남구	개포동	158		17
06325	서울특별시	강남구	개포동	158-1	161-1	18
06325	서울특별시	강남구	개포동	161-2		19
06325	서울특별시	강남구	개포동	161-3		20
06325	서울특별시	강남구	개포동	161-4		21
06325	서울특별시	강남구	개포동	162	168-11	22
06325	서울특별시	강남구	개포동	169		23
06325	서울특별시	강남구	개포동	169-1	172-11	24
06324	서울특별시	강남구	개포동	173		25
06323	서울특별시	강남구	개포동	174	175-3	26
06323	서울특별시	강남구	개포동	175-4		27
06323	서울특별시	강남구	개포동	176-1		28
06323	서울특별시	강남구	개포동	176-2		29
06323	서울특별시	강남구	개포동	177	179	30
06323	서울특별시	강남구	개포동	181		31
06328	서울특별시	강남구	개포동	182	184	32
06330	서울특별시	강남구	개포동	185		33
06329	서울특별시	강남구	개포동	186	187	34
06331	서울특별시	강남구	개포동	188	189-3	35
06324	서울특별시	강남구	개포동	195		36
06358	서울특별시	강남구	개포동	565-3		37
06358	서울특별시	강남구	개포동	570		38
06317	서울특별시	강남구	개포동	649		39
06318	서울특별시	강남구	개포동	650	651-1	40
06319	서울특별시	강남구	개포동	652		41
06320	서울특별시	강남구	개포동	653		42
06305	서울특별시	강남구	개포동	654	655-4	43
06310	서울특별시	강남구	개포동	656	656-1	44
06316	서울특별시	강남구	개포동	658	658-1	45
06321	서울특별시	강남구	개포동	660-1	660-10	46
06322	서울특별시	강남구	개포동	660-13		47
06322	서울특별시	강남구	개포동	660-14	660-22	48
06322	서울특별시	강남구	개포동	660-23		49
06322	서울특별시	강남구	개포동	660-24	660-30	50
06322	서울특별시	강남구	개포동	660-31		51
06322	서울특별시	강남구	개포동	660-32	660-33	52
06322	서울특별시	강남구	개포동	660-34	660-35	53
06321	서울특별시	강남구	개포동	660-37		54
06358	서울특별시	강남구	개포동	971		55
06357	서울특별시	강남구	개포동	1055	1057-9	56
06313	서울특별시	강남구	개포동	1163	1164-25	57
06313	서울특별시	강남구	개포동	1164-26		58
06313	서울특별시	강남구	개포동	1164-27	1164-28	59
06315	서울특별시	강남구	개포동	1164-29	1165-17	60
06314	서울특별시	강남구	개포동	1166	1168-11	61
06313	서울특별시	강남구	개포동	1169	1169-11	62
06314	서울특별시	강남구	개포동	1170	1170-9	63
06314	서울특별시	강남구	개포동	1170-10		64
06314	서울특별시	강남구	개포동	1170-11	1177-5	65
06314	서울특별시	강남구	개포동	1177-6	1177-7	66
06314	서울특별시	강남구	개포동	1177-8	1177-9	67
06315	서울특별시	강남구	개포동	1178	1183-18	68
06314	서울특별시	강남구	개포동	1184		69
06314	서울특별시	강남구	개포동	1184-1	1189-10	70
